timestamp,carbon_intensity,renewable_percentage,thermal_percentage,solar_percentage,wind_percentage,hydro_percentage,grid_demand,grid_status
00:00,599,26.5,73.5,0,17,9.5,3100,NORMAL
00:15,596,26.8,73.2,0,17.3,9.5,3161,NORMAL
00:30,596,26.9,73.1,0,17.4,9.5,3230,NORMAL
00:45,594,27.1,72.9,0,17.6,9.5,3302,NORMAL
01:00,594,27.1,72.9,0,17.7,9.4,3378,NORMAL
01:15,593,27.2,72.8,0,17.8,9.4,3453,NORMAL
01:30,593,27.2,72.8,0,17.9,9.3,3527,NORMAL
01:45,593,27.2,72.8,0,18,9.2,3598,NORMAL
02:00,593,27.2,72.8,0,18,9.2,3664,NORMAL
02:15,594,27.1,72.9,0,18,9.1,3723,NORMAL
02:30,595,27,73,0,18,9,3774,NORMAL
02:45,596,26.8,73.2,0,17.9,8.9,3817,NORMAL
03:00,597,26.7,73.3,0,17.9,8.8,3850,NORMAL
03:15,599,26.4,73.6,0,17.8,8.6,3874,NORMAL
03:30,602,26.1,73.9,0,17.6,8.5,3888,HIGH
03:45,603,25.9,74.1,0,17.5,8.4,3893,HIGH
04:00,606,25.5,74.5,0,17.3,8.2,3890,HIGH
04:15,608,25.2,74.8,0,17.1,8.1,3880,HIGH
04:30,611,24.9,75.1,0,16.9,8,3864,HIGH
04:45,614,24.5,75.5,0,16.7,7.8,3844,HIGH
05:00,618,24,76,0,16.4,7.6,3822,HIGH
05:15,620,23.7,76.3,0,16.2,7.5,3800,HIGH
05:30,624,23.2,76.8,0,15.9,7.3,3779,HIGH
05:45,627,22.8,77.2,0,15.6,7.2,3761,HIGH
06:00,631,22.2,77.8,0,15.2,7,3748,HIGH
06:15,609,25.1,74.9,3.4,14.9,6.8,3741,HIGH
06:30,586,28.1,71.9,6.8,14.6,6.7,3742,NORMAL
06:45,566,30.8,69.2,10.1,14.2,6.5,3750,NORMAL
07:00,544,33.7,66.3,13.5,13.8,6.4,3768,NORMAL
07:15,524,36.3,63.7,16.7,13.4,6.2,3794,NORMAL
07:30,504,39,61,19.9,13.1,6,3829,NORMAL
07:45,484,41.6,58.4,23,12.7,5.9,3871,NORMAL
08:00,465,44.1,55.9,26,12.3,5.8,3921,NORMAL
08:15,447,46.4,53.6,28.9,11.9,5.6,3977,NORMAL
08:30,430,48.7,51.3,31.7,11.5,5.5,4037,NORMAL
08:45,414,50.8,49.2,34.3,11.1,5.4,4099,NORMAL
09:00,399,52.7,47.3,36.8,10.7,5.2,4163,NORMAL
09:15,386,54.5,45.5,39.1,10.3,5.1,4225,NORMAL
09:30,372,56.3,43.7,41.3,10,5,4285,NORMAL
09:45,361,57.7,42.3,43.2,9.6,4.9,4339,NORMAL
10:00,352,59,41,45,9.2,4.8,4388,NORMAL
10:15,342,60.3,39.7,46.6,8.9,4.8,4428,CLEAN
10:30,334,61.3,38.7,48,8.6,4.7,4459,CLEAN
10:45,328,62.1,37.9,49.2,8.3,4.6,4480,CLEAN
11:00,323,62.8,37.2,50.2,8,4.6,4490,CLEAN
11:15,320,63.2,36.8,51,7.7,4.5,4490,CLEAN
11:30,317,63.5,36.5,51.6,7.4,4.5,4478,CLEAN
11:45,317,63.6,36.4,51.9,7.2,4.5,4457,CLEAN
12:00,317,63.5,36.5,52,7,4.5,4427,CLEAN
12:15,320,63.1,36.9,51.9,6.7,4.5,4388,CLEAN
12:30,323,62.7,37.3,51.6,6.6,4.5,4343,CLEAN
12:45,330,61.9,38.1,51,6.4,4.5,4293,CLEAN
13:00,336,61.1,38.9,50.2,6.3,4.6,4240,CLEAN
13:15,344,60,40,49.2,6.2,4.6,4186,CLEAN
13:30,353,58.8,41.2,48,6.1,4.7,4132,NORMAL
13:45,364,57.4,42.6,46.6,6,4.8,4081,NORMAL
14:00,376,55.8,44.2,45,6,4.8,4034,NORMAL
14:15,389,54.1,45.9,43.2,6,4.9,3993,NORMAL
14:30,403,52.3,47.7,41.3,6,5,3958,NORMAL
14:45,418,50.3,49.7,39.1,6.1,5.1,3931,NORMAL
15:00,434,48.1,51.9,36.8,6.1,5.2,3913,NORMAL
15:15,451,45.9,54.1,34.3,6.2,5.4,3903,NORMAL
15:30,469,43.6,56.4,31.7,6.4,5.5,3901,NORMAL
15:45,488,41,59,28.9,6.5,5.6,3908,NORMAL
16:00,508,38.4,61.6,26,6.7,5.7,3921,NORMAL
16:15,528,35.8,64.2,23,6.9,5.9,3940,NORMAL
16:30,549,33,67,19.9,7.1,6,3964,NORMAL
16:45,570,30.2,69.8,16.7,7.3,6.2,3990,NORMAL
17:00,591,27.5,72.5,13.5,7.6,6.4,4018,NORMAL
17:15,615,24.4,75.6,10.1,7.8,6.5,4044,HIGH
17:30,636,21.6,78.4,6.8,8.1,6.7,4068,HIGH
17:45,659,18.6,81.4,3.4,8.4,6.8,4088,HIGH
18:00,680,15.8,84.2,0,8.8,7,4102,HIGH
18:15,676,16.3,83.7,0,9.1,7.2,4108,HIGH
18:30,673,16.7,83.3,0,9.4,7.3,4106,HIGH
18:45,669,17.3,82.7,0,9.8,7.5,4094,HIGH
19:00,665,17.8,82.2,0,10.2,7.6,4072,HIGH
19:15,660,18.4,81.6,0,10.6,7.8,4041,HIGH
